profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
swt_risk_adjusted_risk_adjusted_mt070,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.7,60,0.16470728586382255,0.1169035337775497,0.002582906225141508,0.0018829062251412684,0.008804962285005614,0.008804962285005428,-0.052651035196972895,-0.06845649339798332,2.1153528051612556,1.5420656493210636,0.55,0.5166666666666667,5.0,5.0,0.006116317486116263,0.7000000000002401,1.5751974647731684,0.4582693635143501,0.0420000000000144,40,False,11,False
swt_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,1.0,60,0.18451356871999058,0.1161064639659326,0.002898532835727484,0.0019048467652696495,0.012076149631626185,0.012074769926156583,-0.08056108809493578,-0.10245184470399371,1.7308180308501473,1.1375823682079116,0.55,0.5166666666666667,5.0,5.0,9.055904174696631e-13,0.9936860704578343,1.5126074797917666,0.6817996237071122,0.05962116422747006,35,False,12,False
swt_risk_adjusted_risk_adjusted_mt065,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.1598323556458816,0.11556141699918254,0.0025085295319446166,0.0018585295319445058,0.008298415579202833,0.008298415579202847,-0.04855182902834665,-0.06314537920400254,2.1798454818554283,1.6150127600704494,0.55,0.5166666666666667,5.0,5.0,0.00802821821118943,0.6500000000001117,1.5891021631256903,0.4210782357036274,0.0390000000000067,39,False,13,False
swt_risk_adjusted_equal_mt055,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.55,60,0.15278397821481104,0.11543896969083378,0.002400439026009304,0.0018504390260093038,0.00750118689634447,0.00750118689634447,-0.04177265362697813,-0.054363890437957973,2.307609745364204,1.7788792314047157,0.5333333333333333,0.5166666666666667,5.0,5.0,0.01359326754194399,0.5499999999999999,1.6249591371724064,0.3471912547093632,0.03300000000000001,23,False,14,False
swt_risk_adjusted_pred_mt050,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.5,60,0.14858832640275366,0.11471039452103637,0.00233605990440553,0.0018360599044055302,0.007020296765069498,0.007020296765069498,-0.03745463835342189,-0.04895725590038413,2.399552055918326,1.8859624747194328,0.5333333333333333,0.5166666666666667,5.0,5.0,0.017185125677800936,0.5,1.6367626945735898,0.31315998477324175,0.030000000000000002,29,False,15,False
swt_risk_adjusted_risk_adjusted_mt060,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.6,60,0.15413908215618521,0.11341154381132523,0.002422181364671281,0.001822181364671226,0.007779756641180856,0.007779756641180848,-0.044453288765120225,-0.05785065762460895,2.245134266171609,1.68899070923119,0.55,0.5166666666666667,5.0,5.0,0.010389413761733711,0.600000000000055,1.603340190673776,0.384680798250735,0.03600000000000331,38,False,16,False
swt_risk_adjusted_equal_mt100,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,1.0,60,0.1801765206135486,0.11203907512668332,0.00283657972781783,0.0018432463944837386,0.012021084704409761,0.012020069821709048,-0.08072367711602679,-0.10261072570696028,1.7015824956024286,1.105803791026616,0.55,0.5166666666666667,5.0,5.0,1.0483243902588887e-12,0.9933333333340908,1.5140788987290799,0.680965626615095,0.05960000000004545,28,False,17,False
swt_risk_adjusted_equal_mt050,replay_walk_forward_predictions,equal,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.5,60,0.14536836524048424,0.11158386769306095,0.002288608910391067,0.0017886089103910671,0.006939748977819405,0.006939748977819405,-0.03748331012205719,-0.04898559935104552,2.378096614812023,1.8585459384132177,0.5333333333333333,0.5166666666666667,5.0,5.0,0.01730165320878289,0.5,1.6391691458787958,0.31259128633406774,0.030000000000000002,22,False,18,False
swt_risk_adjusted_risk_adjusted_mt055,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.55,60,0.14760846130401828,0.11042843956882842,0.002323429398895999,0.0017734293988959993,0.0072491870431084975,0.0072491870431084975,-0.04037301376253899,-0.05258998205276877,2.3112229779210614,1.7641124702978932,0.5333333333333333,0.5166666666666667,5.0,5.0,0.013343222938147405,0.5499999999999999,1.618083854395929,0.3489463418608982,0.03300000000000001,37,False,19,False
swt_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,1.0,60,0.1767185825706803,0.10876132140762862,0.0027826030750296156,0.0017890132783991409,0.0115982172391443,0.01159655713802105,-0.07771059465566232,-0.09966639023094992,1.7300621051349192,1.1124645066604295,0.55,0.5333333333333333,5.0,5.0,2.8485547254319954e-13,0.9935897966304739,1.50709777373121,0.684957585493203,0.05961538779782844,42,False,20,False
swt_risk_adjusted_risk_adjusted_mt050,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.5,60,0.14016787730027525,0.10653431498866195,0.0022110119227585173,0.0017110119227585175,0.006705656170679751,0.006705656170679751,-0.03631549290168201,-0.047369042103352244,2.3776694346557727,1.8399813719678684,0.5333333333333333,0.5166666666666667,5.0,5.0,0.017053828056021306,0.5,1.6329356067044019,0.3140032436001162,0.030000000000000002,36,False,21,False
swt_pure_prediction_risk_adjusted_mt070,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.7,60,0.15340013405352693,0.10605286706487749,0.0024213615143255586,0.0017213615143252233,0.008984050390593079,0.008984050390592895,-0.050751863001014974,-0.06529759949278902,1.9435205095192265,1.3816612627214666,0.5333333333333333,0.48333333333333334,5.0,5.0,0.006123591650607348,0.700000000000335,1.6249532668815532,0.44602010490899857,0.042000000000020105,19,False,22,False
swt_pure_prediction_risk_adjusted_mt065,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.14955356402102593,0.10566853308009239,0.0023610495069763104,0.0017110495069761957,0.00846066492226383,0.008460664922263838,-0.046430680338840236,-0.060003251463602414,2.012344216330046,1.4583432363633486,0.55,0.48333333333333334,5.0,5.0,0.008047337036481363,0.6500000000001137,1.6365666240988648,0.4103204591414821,0.039000000000006835,18,False,23,False
swt_pure_prediction_risk_adjusted_mt075,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.75,60,0.1564230288165369,0.1056370942280409,0.002469742767944961,0.001719742767944563,0.009494539837288332,0.009494539837288256,-0.05510474673905996,-0.07061308706524183,1.8757695137703796,1.3061445497507027,0.5333333333333333,0.48333333333333334,5.0,5.0,0.004571103800509826,0.7500000000003985,1.6136180771891395,0.4824039065637125,0.04500000000002391,20,False,24,False
